settlement_id,payment_id,utr,merchant_id,bank_account_num,ifsc,gross_amount_inr,net_amount_inr,status,failure_reason,initiated_at,settled_at
setl_demo_0026,pay_demo_0026,DEMO00000000026,acc_demo_002,XXXXXX9026,HDFC0001234,3662.0,3575.58,processed,,2026-08-05 11:00:00,2026-08-05 13:00:00
setl_demo_0027,pay_demo_0027,DEMO00000000027,acc_demo_003,XXXXXX9027,HDFC0001234,3799.0,3709.34,processed,,2026-08-05 14:00:00,2026-08-05 16:00:00
setl_demo_0028,pay_demo_0028,DEMO00000000028,acc_demo_004,XXXXXX9028,HDFC0001234,3936.0,3843.11,processed,,2026-08-05 17:00:00,2026-08-05 19:00:00
setl_demo_0029,pay_demo_0029,DEMO00000000029,acc_demo_005,XXXXXX9029,HDFC0001234,4073.0,3976.88,processed,,2026-08-05 20:00:00,2026-08-05 22:00:00
setl_demo_0030,pay_demo_0030,DEMO00000000030,acc_demo_006,XXXXXX9030,HDFC0001234,4210.0,4110.64,processed,,2026-08-05 23:00:00,2026-08-06 01:00:00
setl_demo_0031,pay_demo_0031,DEMO00000000031,acc_demo_007,XXXXXX9031,HDFC0001234,4347.0,4244.41,processed,,2026-08-06 02:00:00,2026-08-06 04:00:00
setl_demo_0032,pay_demo_0032,DEMO00000000032,acc_demo_008,XXXXXX9032,HDFC0001234,4484.0,4378.18,processed,,2026-08-06 05:00:00,2026-08-06 07:00:00
setl_demo_0033,pay_demo_0033,DEMO00000000033,acc_demo_009,XXXXXX9033,HDFC0001234,4621.0,4511.94,processed,,2026-08-06 08:00:00,2026-08-06 10:00:00
setl_demo_0034,pay_demo_0034,DEMO00000000034,acc_demo_010,XXXXXX9034,HDFC0001234,4758.0,4645.71,processed,,2026-08-06 11:00:00,2026-08-06 13:00:00
setl_demo_0035,pay_demo_0035,DEMO00000000035,acc_demo_011,XXXXXX9035,HDFC0001234,4895.0,4779.48,processed,,2026-08-06 14:00:00,2026-08-06 16:00:00
setl_demo_0036,pay_demo_0036,DEMO00000000036,acc_demo_012,XXXXXX9036,HDFC0001234,5032.0,4913.24,processed,,2026-08-06 17:00:00,2026-08-06 19:00:00
setl_demo_0037,pay_demo_0037,DEMO00000000037,acc_demo_013,XXXXXX9037,HDFC0001234,5169.0,5047.01,processed,,2026-08-06 20:00:00,2026-08-06 22:00:00
setl_demo_0038,pay_demo_0038,DEMO00000000038,acc_demo_014,XXXXXX9038,HDFC0001234,5306.0,5180.78,processed,,2026-08-06 23:00:00,2026-08-07 01:00:00
setl_demo_0039,pay_demo_0039,DEMO00000000039,acc_demo_015,XXXXXX9039,HDFC0001234,5443.0,5314.55,processed,,2026-08-07 02:00:00,2026-08-07 04:00:00
setl_demo_0040,pay_demo_0040,,acc_demo_016,XXXXXX9040,HDFC0001234,5580.0,5448.31,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-07 05:00:00,
setl_demo_0041,pay_demo_0041,DEMO00000000041,acc_demo_017,XXXXXX9041,HDFC0001234,5717.0,5582.08,processed,,2026-08-07 08:00:00,2026-08-07 10:00:00
setl_demo_0042,pay_demo_0042,DEMO00000000042,acc_demo_018,XXXXXX9042,HDFC0001234,5854.0,5715.85,processed,,2026-08-07 11:00:00,2026-08-07 13:00:00
setl_demo_0043,pay_demo_0043,DEMO00000000043,acc_demo_019,XXXXXX9043,HDFC0001234,5991.0,5849.61,processed,,2026-08-07 14:00:00,2026-08-07 16:00:00
setl_demo_0044,pay_demo_0044,DEMO00000000044,acc_demo_020,XXXXXX9044,HDFC0001234,6128.0,5983.38,processed,,2026-08-07 17:00:00,2026-08-07 19:00:00
setl_demo_0045,pay_demo_0045,DEMO00000000045,acc_demo_021,XXXXXX9045,HDFC0001234,6265.0,6117.15,processed,,2026-08-07 20:00:00,2026-08-07 22:00:00
setl_demo_0046,pay_demo_0046,DEMO00000000046,acc_demo_022,XXXXXX9046,HDFC0001234,6402.0,6250.91,processed,,2026-08-07 23:00:00,2026-08-08 01:00:00
setl_demo_0047,pay_demo_0047,,acc_demo_023,XXXXXX9047,HDFC0001234,6539.0,6384.68,failed,BENEFICIARY_ACCOUNT_REJECTED: Demo failure scenario,2026-08-08 02:00:00,
setl_demo_0048,pay_demo_0048,DEMO00000000048,acc_demo_024,XXXXXX9048,HDFC0001234,6676.0,6518.45,processed,,2026-08-08 05:00:00,2026-08-08 07:00:00
setl_demo_0049,pay_demo_0049,DEMO00000000049,acc_demo_025,XXXXXX9049,HDFC0001234,6813.0,6652.21,processed,,2026-08-08 08:00:00,2026-08-08 10:00:00
setl_demo_0050,pay_demo_0050,DEMO00000000050,acc_demo_001,XXXXXX9050,HDFC0001234,6950.0,6785.98,processed,,2026-08-08 11:00:00,2026-08-08 13:00:00
setl_demo_0051,pay_demo_0051,DEMO00000000051,acc_demo_002,XXXXXX9051,HDFC0001234,7087.0,6919.75,processed,,2026-08-08 14:00:00,2026-08-08 16:00:00
setl_demo_0052,pay_demo_0052,DEMO00000000052,acc_demo_003,XXXXXX9052,HDFC0001234,7224.0,7053.51,processed,,2026-08-08 17:00:00,2026-08-08 19:00:00
setl_demo_0053,pay_demo_0053,DEMO00000000053,acc_demo_004,XXXXXX9053,HDFC0001234,7361.0,7187.28,processed,,2026-08-08 20:00:00,2026-08-08 22:00:00
setl_demo_0054,pay_demo_0054,DEMO00000000054,acc_demo_005,XXXXXX9054,HDFC0001234,7498.0,7321.05,processed,,2026-08-08 23:00:00,2026-08-09 01:00:00
setl_demo_0055,pay_demo_0055,DEMO00000000055,acc_demo_006,XXXXXX9055,HDFC0001234,7635.0,7454.81,processed,,2026-08-09 02:00:00,2026-08-09 04:00:00
setl_demo_0056,pay_demo_0056,DEMO00000000056,acc_demo_007,XXXXXX9056,HDFC0001234,7772.0,7588.58,processed,,2026-08-09 05:00:00,2026-08-09 07:00:00
setl_demo_0057,pay_demo_0057,DEMO00000000057,acc_demo_008,XXXXXX9057,HDFC0001234,7909.0,7722.35,processed,,2026-08-09 08:00:00,2026-08-09 10:00:00
setl_demo_0058,pay_demo_0058,DEMO00000000058,acc_demo_009,XXXXXX9058,HDFC0001234,8046.0,7856.11,processed,,2026-08-09 11:00:00,2026-08-09 13:00:00
setl_demo_0059,pay_demo_0059,DEMO00000000059,acc_demo_010,XXXXXX9059,HDFC0001234,8183.0,7989.88,processed,,2026-08-09 14:00:00,2026-08-09 16:00:00
setl_demo_0060,pay_demo_0060,,acc_demo_011,XXXXXX9060,HDFC0001234,8320.0,8123.65,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-09 17:00:00,
setl_demo_0061,pay_demo_0061,DEMO00000000061,acc_demo_012,XXXXXX9061,HDFC0001234,8457.0,8257.41,processed,,2026-08-09 20:00:00,2026-08-09 22:00:00
setl_demo_0062,pay_demo_0062,DEMO00000000062,acc_demo_013,XXXXXX9062,HDFC0001234,8594.0,8391.18,processed,,2026-08-09 23:00:00,2026-08-10 01:00:00
setl_demo_0063,pay_demo_0063,DEMO00000000063,acc_demo_014,XXXXXX9063,HDFC0001234,8731.0,8524.95,processed,,2026-08-10 02:00:00,2026-08-10 04:00:00
setl_demo_0064,pay_demo_0064,DEMO00000000064,acc_demo_015,XXXXXX9064,HDFC0001234,8868.0,8658.72,processed,,2026-08-10 05:00:00,2026-08-10 07:00:00
setl_demo_0065,pay_demo_0065,DEMO00000000065,acc_demo_016,XXXXXX9065,HDFC0001234,9005.0,8792.48,processed,,2026-08-10 08:00:00,2026-08-10 10:00:00
setl_demo_0066,pay_demo_0066,DEMO00000000066,acc_demo_017,XXXXXX9066,HDFC0001234,9142.0,8926.25,processed,,2026-08-10 11:00:00,2026-08-10 13:00:00
setl_demo_0067,pay_demo_0067,DEMO00000000067,acc_demo_018,XXXXXX9067,HDFC0001234,9279.0,9060.02,processed,,2026-08-10 14:00:00,2026-08-10 16:00:00
setl_demo_0068,pay_demo_0068,DEMO00000000068,acc_demo_019,XXXXXX9068,HDFC0001234,9416.0,9193.78,processed,,2026-08-10 17:00:00,2026-08-10 19:00:00
setl_demo_0069,pay_demo_0069,DEMO00000000069,acc_demo_020,XXXXXX9069,HDFC0001234,9553.0,9327.55,processed,,2026-08-10 20:00:00,2026-08-10 22:00:00
setl_demo_0070,pay_demo_0070,DEMO00000000070,acc_demo_021,XXXXXX9070,HDFC0001234,9690.0,9461.32,processed,,2026-08-10 23:00:00,2026-08-11 01:00:00
setl_demo_0071,pay_demo_0071,DEMO00000000071,acc_demo_022,XXXXXX9071,HDFC0001234,9827.0,9595.08,processed,,2026-08-11 02:00:00,2026-08-11 04:00:00
setl_demo_0072,pay_demo_0072,DEMO00000000072,acc_demo_023,XXXXXX9072,HDFC0001234,9964.0,9728.85,processed,,2026-08-11 05:00:00,2026-08-11 07:00:00
setl_demo_0073,pay_demo_0073,DEMO00000000073,acc_demo_024,XXXXXX9073,HDFC0001234,201.0,196.26,processed,,2026-08-11 08:00:00,2026-08-11 10:00:00
setl_demo_0074,pay_demo_0074,DEMO00000000074,acc_demo_025,XXXXXX9074,HDFC0001234,338.0,330.02,processed,,2026-08-11 11:00:00,2026-08-11 13:00:00
setl_demo_0075,pay_demo_0075,DEMO00000000075,acc_demo_001,XXXXXX9075,HDFC0001234,475.0,463.79,processed,,2026-08-11 14:00:00,2026-08-11 16:00:00
setl_demo_0076,pay_demo_0076,DEMO00000000076,acc_demo_002,XXXXXX9076,HDFC0001234,612.0,597.56,processed,,2026-08-11 17:00:00,2026-08-11 19:00:00
setl_demo_0077,pay_demo_0077,DEMO00000000077,acc_demo_003,XXXXXX9077,HDFC0001234,749.0,731.32,processed,,2026-08-11 20:00:00,2026-08-11 22:00:00
setl_demo_0078,pay_demo_0078,DEMO00000000078,acc_demo_004,XXXXXX9078,HDFC0001234,886.0,865.09,processed,,2026-08-11 23:00:00,2026-08-12 01:00:00
setl_demo_0079,pay_demo_0079,DEMO00000000079,acc_demo_005,XXXXXX9079,HDFC0001234,1023.0,998.86,processed,,2026-08-12 02:00:00,2026-08-12 04:00:00
setl_demo_0080,pay_demo_0080,,acc_demo_006,XXXXXX9080,HDFC0001234,1160.0,1132.62,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-12 05:00:00,
setl_demo_0081,pay_demo_0081,DEMO00000000081,acc_demo_007,XXXXXX9081,HDFC0001234,1297.0,1266.39,processed,,2026-08-12 08:00:00,2026-08-12 10:00:00
setl_demo_0082,pay_demo_0082,DEMO00000000082,acc_demo_008,XXXXXX9082,HDFC0001234,1434.0,1400.16,processed,,2026-08-12 11:00:00,2026-08-12 13:00:00
setl_demo_0083,pay_demo_0083,DEMO00000000083,acc_demo_009,XXXXXX9083,HDFC0001234,1571.0,1533.92,processed,,2026-08-12 14:00:00,2026-08-12 16:00:00
setl_demo_0084,pay_demo_0084,DEMO00000000084,acc_demo_010,XXXXXX9084,HDFC0001234,1708.0,1667.69,processed,,2026-08-12 17:00:00,2026-08-12 19:00:00
setl_demo_0085,pay_demo_0085,DEMO00000000085,acc_demo_011,XXXXXX9085,HDFC0001234,1845.0,1801.46,processed,,2026-08-12 20:00:00,2026-08-12 22:00:00
setl_demo_0086,pay_demo_0086,DEMO00000000086,acc_demo_012,XXXXXX9086,HDFC0001234,1982.0,1935.22,processed,,2026-08-12 23:00:00,2026-08-13 01:00:00
setl_demo_0087,pay_demo_0087,DEMO00000000087,acc_demo_013,XXXXXX9087,HDFC0001234,2119.0,2068.99,processed,,2026-08-13 02:00:00,2026-08-13 04:00:00
setl_demo_0088,pay_demo_0088,DEMO00000000088,acc_demo_014,XXXXXX9088,HDFC0001234,2256.0,2202.76,processed,,2026-08-13 05:00:00,2026-08-13 07:00:00
setl_demo_0089,pay_demo_0089,DEMO00000000089,acc_demo_015,XXXXXX9089,HDFC0001234,2393.0,2336.53,processed,,2026-08-13 08:00:00,2026-08-13 10:00:00
setl_demo_0090,pay_demo_0090,DEMO00000000090,acc_demo_016,XXXXXX9090,HDFC0001234,2530.0,2470.29,processed,,2026-08-13 11:00:00,2026-08-13 13:00:00
setl_demo_0091,pay_demo_0091,DEMO00000000091,acc_demo_017,XXXXXX9091,HDFC0001234,2667.0,2604.06,processed,,2026-08-13 14:00:00,2026-08-13 16:00:00
setl_demo_0092,pay_demo_0092,DEMO00000000092,acc_demo_018,XXXXXX9092,HDFC0001234,2804.0,2737.83,processed,,2026-08-13 17:00:00,2026-08-13 19:00:00
setl_demo_0093,pay_demo_0093,DEMO00000000093,acc_demo_019,XXXXXX9093,HDFC0001234,2941.0,2871.59,processed,,2026-08-13 20:00:00,2026-08-13 22:00:00
setl_demo_0094,pay_demo_0094,,acc_demo_020,XXXXXX9094,HDFC0001234,3078.0,3005.36,failed,BENEFICIARY_ACCOUNT_REJECTED: Demo failure scenario,2026-08-13 23:00:00,
setl_demo_0095,pay_demo_0095,DEMO00000000095,acc_demo_021,XXXXXX9095,HDFC0001234,3215.0,3139.13,processed,,2026-08-14 02:00:00,2026-08-14 04:00:00
setl_demo_0096,pay_demo_0096,DEMO00000000096,acc_demo_022,XXXXXX9096,HDFC0001234,3352.0,3272.89,processed,,2026-08-14 05:00:00,2026-08-14 07:00:00
setl_demo_0097,pay_demo_0097,DEMO00000000097,acc_demo_023,XXXXXX9097,HDFC0001234,3489.0,3406.66,processed,,2026-08-14 08:00:00,2026-08-14 10:00:00
setl_demo_0098,pay_demo_0098,DEMO00000000098,acc_demo_024,XXXXXX9098,HDFC0001234,3626.0,3540.43,processed,,2026-08-14 11:00:00,2026-08-14 13:00:00
setl_demo_0099,pay_demo_0099,DEMO00000000099,acc_demo_025,XXXXXX9099,HDFC0001234,3763.0,3674.19,processed,,2026-08-14 14:00:00,2026-08-14 16:00:00
setl_demo_0100,pay_demo_0100,,acc_demo_001,XXXXXX9100,HDFC0001234,3900.0,3807.96,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-14 17:00:00,
setl_demo_0101,pay_demo_0101,DEMO00000000101,acc_demo_002,XXXXXX9101,HDFC0001234,4037.0,3941.73,processed,,2026-08-14 20:00:00,2026-08-14 22:00:00
setl_demo_0102,pay_demo_0102,DEMO00000000102,acc_demo_003,XXXXXX9102,HDFC0001234,4174.0,4075.49,processed,,2026-08-14 23:00:00,2026-08-15 01:00:00
setl_demo_0103,pay_demo_0103,DEMO00000000103,acc_demo_004,XXXXXX9103,HDFC0001234,4311.0,4209.26,processed,,2026-08-15 02:00:00,2026-08-15 04:00:00
setl_demo_0104,pay_demo_0104,DEMO00000000104,acc_demo_005,XXXXXX9104,HDFC0001234,4448.0,4343.03,processed,,2026-08-15 05:00:00,2026-08-15 07:00:00
setl_demo_0105,pay_demo_0105,DEMO00000000105,acc_demo_006,XXXXXX9105,HDFC0001234,4585.0,4476.79,processed,,2026-08-15 08:00:00,2026-08-15 10:00:00
setl_demo_0106,pay_demo_0106,DEMO00000000106,acc_demo_007,XXXXXX9106,HDFC0001234,4722.0,4610.56,processed,,2026-08-15 11:00:00,2026-08-15 13:00:00
setl_demo_0107,pay_demo_0107,DEMO00000000107,acc_demo_008,XXXXXX9107,HDFC0001234,4859.0,4744.33,processed,,2026-08-15 14:00:00,2026-08-15 16:00:00
setl_demo_0108,pay_demo_0108,DEMO00000000108,acc_demo_009,XXXXXX9108,HDFC0001234,4996.0,4878.09,processed,,2026-08-15 17:00:00,2026-08-15 19:00:00
setl_demo_0109,pay_demo_0109,DEMO00000000109,acc_demo_010,XXXXXX9109,HDFC0001234,5133.0,5011.86,processed,,2026-08-15 20:00:00,2026-08-15 22:00:00
setl_demo_0110,pay_demo_0110,DEMO00000000110,acc_demo_011,XXXXXX9110,HDFC0001234,5270.0,5145.63,processed,,2026-08-15 23:00:00,2026-08-16 01:00:00
setl_demo_0111,pay_demo_0111,DEMO00000000111,acc_demo_012,XXXXXX9111,HDFC0001234,5407.0,5279.39,processed,,2026-08-16 02:00:00,2026-08-16 04:00:00
setl_demo_0112,pay_demo_0112,DEMO00000000112,acc_demo_013,XXXXXX9112,HDFC0001234,5544.0,5413.16,processed,,2026-08-16 05:00:00,2026-08-16 07:00:00
setl_demo_0113,pay_demo_0113,DEMO00000000113,acc_demo_014,XXXXXX9113,HDFC0001234,5681.0,5546.93,processed,,2026-08-16 08:00:00,2026-08-16 10:00:00
setl_demo_0114,pay_demo_0114,DEMO00000000114,acc_demo_015,XXXXXX9114,HDFC0001234,5818.0,5680.7,processed,,2026-08-16 11:00:00,2026-08-16 13:00:00
setl_demo_0115,pay_demo_0115,DEMO00000000115,acc_demo_016,XXXXXX9115,HDFC0001234,5955.0,5814.46,processed,,2026-08-16 14:00:00,2026-08-16 16:00:00
setl_demo_0116,pay_demo_0116,DEMO00000000116,acc_demo_017,XXXXXX9116,HDFC0001234,6092.0,5948.23,processed,,2026-08-16 17:00:00,2026-08-16 19:00:00
setl_demo_0117,pay_demo_0117,DEMO00000000117,acc_demo_018,XXXXXX9117,HDFC0001234,6229.0,6082.0,processed,,2026-08-16 20:00:00,2026-08-16 22:00:00
setl_demo_0118,pay_demo_0118,DEMO00000000118,acc_demo_019,XXXXXX9118,HDFC0001234,6366.0,6215.76,processed,,2026-08-16 23:00:00,2026-08-17 01:00:00
setl_demo_0119,pay_demo_0119,DEMO00000000119,acc_demo_020,XXXXXX9119,HDFC0001234,6503.0,6349.53,processed,,2026-08-17 02:00:00,2026-08-17 04:00:00
setl_demo_0120,pay_demo_0120,,acc_demo_021,XXXXXX9120,HDFC0001234,6640.0,6483.3,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-17 05:00:00,
setl_demo_0121,pay_demo_0121,DEMO00000000121,acc_demo_022,XXXXXX9121,HDFC0001234,6777.0,6617.06,processed,,2026-08-17 08:00:00,2026-08-17 10:00:00
setl_demo_0122,pay_demo_0122,DEMO00000000122,acc_demo_023,XXXXXX9122,HDFC0001234,6914.0,6750.83,processed,,2026-08-17 11:00:00,2026-08-17 13:00:00
setl_demo_0123,pay_demo_0123,DEMO00000000123,acc_demo_024,XXXXXX9123,HDFC0001234,7051.0,6884.6,processed,,2026-08-17 14:00:00,2026-08-17 16:00:00
setl_demo_0124,pay_demo_0124,DEMO00000000124,acc_demo_025,XXXXXX9124,HDFC0001234,7188.0,7018.36,processed,,2026-08-17 17:00:00,2026-08-17 19:00:00
setl_demo_0125,pay_demo_0125,DEMO00000000125,acc_demo_001,XXXXXX9125,HDFC0001234,7325.0,7152.13,processed,,2026-08-17 20:00:00,2026-08-17 22:00:00
setl_demo_0126,pay_demo_0126,DEMO00000000126,acc_demo_002,XXXXXX9126,HDFC0001234,7462.0,7285.9,processed,,2026-08-17 23:00:00,2026-08-18 01:00:00
setl_demo_0127,pay_demo_0127,DEMO00000000127,acc_demo_003,XXXXXX9127,HDFC0001234,7599.0,7419.66,processed,,2026-08-18 02:00:00,2026-08-18 04:00:00
setl_demo_0128,pay_demo_0128,DEMO00000000128,acc_demo_004,XXXXXX9128,HDFC0001234,7736.0,7553.43,processed,,2026-08-18 05:00:00,2026-08-18 07:00:00
setl_demo_0129,pay_demo_0129,DEMO00000000129,acc_demo_005,XXXXXX9129,HDFC0001234,7873.0,7687.2,processed,,2026-08-18 08:00:00,2026-08-18 10:00:00
setl_demo_0130,pay_demo_0130,DEMO00000000130,acc_demo_006,XXXXXX9130,HDFC0001234,8010.0,7820.96,processed,,2026-08-18 11:00:00,2026-08-18 13:00:00
setl_demo_0131,pay_demo_0131,DEMO00000000131,acc_demo_007,XXXXXX9131,HDFC0001234,8147.0,7954.73,processed,,2026-08-18 14:00:00,2026-08-18 16:00:00
setl_demo_0132,pay_demo_0132,DEMO00000000132,acc_demo_008,XXXXXX9132,HDFC0001234,8284.0,8088.5,processed,,2026-08-18 17:00:00,2026-08-18 19:00:00
setl_demo_0133,pay_demo_0133,DEMO00000000133,acc_demo_009,XXXXXX9133,HDFC0001234,8421.0,8222.26,processed,,2026-08-18 20:00:00,2026-08-18 22:00:00
setl_demo_0134,pay_demo_0134,DEMO00000000134,acc_demo_010,XXXXXX9134,HDFC0001234,8558.0,8356.03,processed,,2026-08-18 23:00:00,2026-08-19 01:00:00
setl_demo_0135,pay_demo_0135,DEMO00000000135,acc_demo_011,XXXXXX9135,HDFC0001234,8695.0,8489.8,processed,,2026-08-19 02:00:00,2026-08-19 04:00:00
setl_demo_0136,pay_demo_0136,DEMO00000000136,acc_demo_012,XXXXXX9136,HDFC0001234,8832.0,8623.56,processed,,2026-08-19 05:00:00,2026-08-19 07:00:00
setl_demo_0137,pay_demo_0137,DEMO00000000137,acc_demo_013,XXXXXX9137,HDFC0001234,8969.0,8757.33,processed,,2026-08-19 08:00:00,2026-08-19 10:00:00
setl_demo_0138,pay_demo_0138,DEMO00000000138,acc_demo_014,XXXXXX9138,HDFC0001234,9106.0,8891.1,processed,,2026-08-19 11:00:00,2026-08-19 13:00:00
